epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
94,94,0.33516663,0.09043543,nan,0.090413585,nan,0.2439735,0.24176462,0.0022088743,0.000757722,0.1645213,0.01,1.0,1.0,0.32586804,0.089802116,nan,0.08979474,nan,0.23530982,0.23496209,0.00034773242,0.0007561079
95,95,0.33651286,0.09101041,nan,0.09083136,nan,0.24474634,0.24224584,0.0025005005,0.0007561079,0.15370318,0.01,1.0,1.0,0.3245351,0.089810714,nan,0.08980592,nan,0.2339699,0.2337127,0.00025719355,0.00075449375
96,96,0.32766902,0.09130839,nan,0.09116528,nan,0.23560615,0.2331928,0.0024133525,0.00075449375,0.11556317,0.01,1.0,1.0,0.32819226,0.089762956,nan,0.089775845,nan,0.2376764,0.2374451,0.00023129077,0.00075291126
97,97,0.32819918,0.09129392,nan,0.09125533,nan,0.23615234,0.23396713,0.002185216,0.00075291126,0.1032779,0.01,1.0,1.0,0.3210823,0.08975197,nan,0.08975913,nan,0.23057899,0.23045108,0.00012790515,0.0007513453
98,98,0.3267665,0.09097563,nan,0.091059536,nan,0.23503952,0.23292504,0.0021144683,0.0007513453,0.111829296,0.01,1.0,1.0,0.31514627,0.08978034,nan,0.089773975,nan,0.22461617,0.22448589,0.00013028401,0.0007497429
99,99,0.3292662,0.09201648,nan,0.091729395,nan,0.23649998,0.23434077,0.0021592008,0.0007497429,0.12384941,0.01,1.0,1.0,0.32358342,0.08973297,nan,0.08974527,nan,0.23310234,0.23283023,0.00027210737,0.0007481358
100,100,0.3258497,0.09073629,nan,0.091034226,nan,0.23436527,0.2321058,0.0022594687,0.0007481358,0.10373081,0.01,1.0,1.0,0.32245526,0.08987152,nan,0.08983365,nan,0.23183726,0.23160069,0.00023657591,0.00074647367
101,101,0.3217367,0.09032256,nan,0.09053606,nan,0.23066765,0.22821453,0.0024531244,0.00074647367,0.12576097,0.01,1.0,1.0,0.31268522,0.08976092,nan,0.08978274,nan,0.22217952,0.22162664,0.00055288046,0.0007447868
102,102,0.31976643,0.09148628,nan,0.091201216,nan,0.22753535,0.22511709,0.0024182587,0.0007447868,0.11950141,0.01,1.0,1.0,0.3095516,0.089740135,nan,0.08975291,nan,0.2190683,0.2182492,0.0008191089,0.0007431451
103,103,0.31722906,0.09042233,nan,0.090656,nan,0.2260636,0.22310993,0.0029536625,0.0007431451,0.15115023,0.01,1.0,1.0,0.31342757,0.08972872,nan,0.08973598,nan,0.22295725,0.22145136,0.0015059029,0.000741585
104,104,0.319106,0.09056706,nan,0.09059374,nan,0.22779737,0.22455509,0.0032422803,0.000741585,0.13095756,0.01,1.0,1.0,0.31626976,0.08977891,nan,0.089766026,nan,0.22575076,0.22477558,0.00097517413,0.00074007263
105,105,0.31276822,0.0908729,nan,0.090789154,nan,0.22115524,0.21814853,0.0030067053,0.00074007263,0.14830756,0.01,1.0,1.0,0.31643903,0.08971224,nan,0.08972838,nan,0.22598821,0.22542736,0.0005608478,0.00073857047
106,106,0.31665874,0.090980574,nan,0.090923145,nan,0.2249396,0.22250183,0.002437769,0.00073857047,0.11567746,0.01,1.0,1.0,0.3129242,0.08975499,nan,0.089747004,nan,0.22243221,0.22230826,0.00012394677,0.0007370183
